DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
06M293,MS 293 City College Academy of the Arts ,,,,,Manhattan
06M346,Community Health Academy Heights ,,,,,Manhattan
06M348,MS 348 Washington Heights Expeditionary Learning S ,,,,,Manhattan
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,,,,,Manhattan
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,56,383,384,379,Manhattan
06M463,HS for Media and Communications-George Washingto ,75,366,376,353,Manhattan
06M467,High School for Law and Public Service ,106,388,388,378,Manhattan
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,28,385,417,373,Manhattan
06M540,A Philip Randolph Campus High School ,193,436,451,421,Manhattan
06M552,GREGORIO LUPERON PREP SCHOOL ,60,342,384,333,Manhattan
07X221,SOUTH BRONX PREPARATORY ,60,399,393,382,Bronx
07X321,CROTANA ACADEMY HIGH SCHOOL ,,,,,Bronx
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33,322,335,327,Bronx
07X379,Jill Chaifetz Transfer High School ,,,,,Bronx
07X381,BRONX HAVEN HIGH SCHOOL ,15,335,342,372,Bronx
07X427,Community High School Social Justice ,50,372,351,359,Bronx
07X473,Mott Haven Village Preparatory High School ,48,345,352,349,Bronx
07X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,66,401,388,396,Bronx
07X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,62,460,455,457,Bronx
07X520,FOREIGN LANGUAGE ACADEMY ,73,418,429,415,Bronx
07X527,Bronx Leadership Academy II High School ,55,377,381,379,Bronx
07X547,NEW EXPLORERS HIGH SCHOOL ,36,382,376,376,Bronx
07X548,Urban Assembly School for Careers in Sports ,58,381,423,384,Bronx
07X551,Bronx Academy of Letters ,51,416,406,435,Bronx
07X600,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354,Bronx
07X655,Samuel Gompers Vocational Technical High School ,105,370,385,354,Bronx
07X670,Health Opportunities High School ,81,400,391,387,Bronx
08X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56,395,407,388,Bronx
08X293,Renaissance High School Music Theater T ,47,389,375,375,Bronx
08X295,Gateway School for Environmental Research & Tech ,31,377,367,368,Bronx
08X305,Pablo Neruda Academy Architecture & World Studies ,54,359,358,338,Bronx
08X312,MILLENNIUM ART ACADEMY ,41,380,389,371,Bronx
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,34,374,362,366,Bronx
08X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,10,416,393,414,Bronx
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448,414,433,397,Bronx
08X408,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,8,358,343,385,Bronx
08X450,ADLAI E STEVENSON HIGH SCHOOL ,,,,,Bronx
08X452,The Bronx Guild High School ,36,381,361,352,Bronx
08X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,,,,,Bronx
08X519,Felisa Rincon de Gautier Inst for Law & Pub Policy ,43,373,376,367,Bronx
08X530,BANANA KELLY HIGH SCHOOL ,48,377,382,368,Bronx
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,29,356,376,368,Bronx
08X560,BRONX ACADEMY HIGH SCHOOL ,19,373,354,364,Bronx
08X650,Jane Addams Vocational High School ,152,370,377,363,Bronx
09X227,Bronx Expeditionary Learning High School ,46,371,358,343,Bronx
09X231,Eagle Academy for Young Men ,66,391,399,386,Bronx
09X239,Urban Assembly Academy History & Citizenship ,22,359,380,371,Bronx
09X241,Urban Assembly School for Applied Math Science ,,,,,Bronx
09X250,EXIMIUS COLLEGE PREP ACADEMY ,44,401,383,387,Bronx
09X252,MOTT HALL BRONX HIGH SCHOOL ,63,395,398,399,Bronx
